,date_valid,alpine_status,alpine_status_code,treeline_status,treeline_status_code,belowtree_status,belowtree_status_code,problems
0,2011-12-02,Considerable,3.0,Considerable,3.0,Low,1.0,"New snow and sunshine will make the mountains very inviting over the next few days; however, the complex snowpack and potential for triggering large avalanches requires some patience and conservative terrain choices."
1,2011-12-03,Considerable,3.0,Moderate,2.0,Low,1.0,The current snowpack requires discipline and conservative terrain choices. Large avalanches are still possible.
2,2011-12-04,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
3,2011-12-05,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
4,2011-12-06,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
5,2011-12-07,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
6,2011-12-08,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
7,2011-12-09,Moderate,2.0,Low,1.0,Low,1.0,No Text
8,2011-12-10,Low,1.0,Low,1.0,Low,1.0,No Text
9,2011-12-11,Low,1.0,Low,1.0,Low,1.0,No Text
10,2011-12-12,Low,1.0,Low,1.0,Low,1.0,No Text
11,2011-12-13,Low,1.0,Low,1.0,Low,1.0,No Text
12,2011-12-14,Low,1.0,Low,1.0,Low,1.0,No Text
13,2011-12-15,Moderate,2.0,Low,1.0,Low,1.0,Avalanche danger is expected to increase throughout the forecast period.
14,2011-12-16,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
15,2011-12-17,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
16,2011-12-18,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
17,2011-12-19,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
18,2011-12-20,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
19,2011-12-21,Moderate,2.0,Low,1.0,Low,1.0,No Text
20,2011-12-22,Moderate,2.0,Low,1.0,Low,1.0,No Text
21,2011-12-23,Moderate,2.0,Low,1.0,Low,1.0,Avalanche danger is expected to increase over the weekend.
22,2011-12-24,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
23,2011-12-25,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
