date_valid,alpine_status,alpine_status_code,treeline_status,treeline_status_code,belowtree_status,belowtree_status_code,problems,
2011-12-02,Considerable,3,Considerable,3,Low,1,"New snow and sunshine will make the mountains very inviting over the next few days; however, the complex snowpack and potential for triggering large avalanches requires some patience and conservative terrain choices.",
2011-12-03,Considerable,3,Moderate,2,Low,1,The current snowpack requires discipline and conservative terrain choices. Large avalanches are still possible.,
2011-12-04,Moderate,2,Moderate,2,Low,1,,
2011-12-05,Moderate,2,Moderate,2,Low,1,,
2011-12-06,Moderate,2,Moderate,2,Low,1,,
2011-12-07,Moderate,2,Moderate,2,Low,1,,
2011-12-08,Moderate,2,Moderate,2,Low,1,,
2011-12-09,Moderate,2,Low,1,Low,1,,
2011-12-10,Low,1,Low,1,Low,1,,
2011-12-11,Low,1,Low,1,Low,1,,
2011-12-12,Low,1,Low,1,Low,1,,
2011-12-13,Low,1,Low,1,Low,1,,
2011-12-14,Low,1,Low,1,Low,1,,
2011-12-15,Moderate,2,Low,1,Low,1,Avalanche danger is expected to increase throughout the forecast period.,
2011-12-16,Moderate,2,Moderate,2,Low,1,,
2011-12-17,Considerable,3,Moderate,2,Low,1,,
2011-12-18,Considerable,3,Moderate,2,Low,1,,
2011-12-19,Moderate,2,Moderate,2,Low,1,,
2011-12-20,Moderate,2,Moderate,2,Low,1,,
2011-12-21,Moderate,2,Low,1,Low,1,,
2011-12-22,Moderate,2,Low,1,Low,1,,
2011-12-23,Moderate,2,Low,1,Low,1,Avalanche danger is expected to increase over the weekend.,
2011-12-24,Considerable,3,Moderate,2,Low,1,,
2011-12-25,Considerable,3,Considerable,3,Moderate,2,,
2011-12-26,High,4,High,4,Considerable,3,Check out the latest post on the Forecaster's Blog for advice on how to stay safe in the backcountry over the holidays.,
2011-12-27,High,4,High,4,Considerable,3,,
2011-12-28,High,4,High,4,Considerable,3,,
2011-12-29,High,4,High,4,Considerable,3,,
2011-12-30,High,4,Considerable,3,Considerable,3,,
2011-12-31,High,4,Considerable,3,Considerable,3,,
2012-01-01,Considerable,3,Considerable,3,Moderate,2,,
2012-01-02,Considerable,3,Considerable,3,Moderate,2,,
2012-01-03,High,4,High,4,Moderate,2,,
2012-01-04,High,4,High,4,Considerable,3,,
2012-01-05,High,4,Considerable,3,Moderate,2,,
2012-01-06,Considerable,3,Moderate,2,Low,1,,
2012-01-07,Considerable,3,Moderate,2,Low,1,,
2012-01-08,High,4,Considerable,3,Moderate,2,,
2012-01-09,High,4,Considerable,3,Moderate,2,,
2012-01-10,Considerable,3,Moderate,2,Low,1,,
2012-01-11,Moderate,2,Moderate,2,Low,1,,
2012-01-12,Moderate,2,Low,1,Low,1,,
2012-01-13,Moderate,2,Low,1,Low,1,,
2012-01-14,Moderate,2,Moderate,2,Low,1,,
2012-01-15,Considerable,3,Considerable,3,Moderate,2,,
2012-01-16,Moderate,2,Moderate,2,Low,1,,
2012-01-17,Considerable,3,Moderate,2,Moderate,2,"Check daily for updates, as the weather forecast is highly uncertain at present. Avalanche danger ratings are likely to change as we receive updated information.",
2012-01-18,Considerable,3,Moderate,2,Moderate,2,,
2012-01-19,Moderate,2,Moderate,2,Moderate,2,,
2012-01-20,High,4,Considerable,3,Considerable,3,"Very heavy, coastal-style snowfall amounts are anticipated to fall on a cold, interior-style snowpack. Unusual and dangerous avalanche conditions are anticipated.",
2012-01-21,High,4,High,4,High,4,"Very heavy, coastal-style snowfall amounts are falling on a cold, interior-style snowpack. Unusual and dangerous avalanche conditions are anticipated.",
2012-01-22,Considerable,3,Considerable,3,Considerable,3,"If heavy snowfall arrives during the day on Sunday, consider alpine terrain to be at High danger.",
2012-01-23,High,4,Considerable,3,Considerable,3,,
2012-01-24,High,4,High,4,High,4,,
2012-01-25,High,4,High,4,High,4,,
2012-01-26,High,4,Considerable,3,Moderate,2,,
2012-01-27,Considerable,3,Considerable,3,Moderate,2,,
2012-01-28,Moderate,2,Moderate,2,Low,1,,
2012-01-29,High,4,Considerable,3,Moderate,2,,
2012-01-30,Considerable,3,Considerable,3,Moderate,2,,
2012-01-31,Moderate,2,Moderate,2,Low,1,,
2012-02-01,Considerable,3,Moderate,2,Moderate,2,,
2012-02-02,Considerable,3,Moderate,2,Moderate,2,,
2012-02-03,Moderate,2,Moderate,2,Moderate,2,,
2012-02-04,Considerable,3,Moderate,2,Low,1,,
2012-02-05,Moderate,2,Moderate,2,Low,1,,
2012-02-06,Moderate,2,Low,1,Low,1,,
2012-02-07,Moderate,2,Low,1,Low,1,,
2012-02-08,Moderate,2,Low,1,Low,1,,
2012-02-09,Moderate,2,Low,1,Low,1,,
2012-02-10,Considerable,3,Moderate,2,Low,1,,
2012-02-11,Moderate,2,Low,1,Low,1,,
2012-02-12,Moderate,2,Low,1,Low,1,,
2012-02-13,Moderate,2,Low,1,Low,1,,
2012-02-14,Low,1,Low,1,Low,1,,
2012-02-15,Low,1,Low,1,Low,1,,
2012-02-16,Moderate,2,Low,1,Low,1,,
2012-02-17,Moderate,2,Low,1,Low,1,,
2012-02-18,Considerable,3,Moderate,2,Low,1,,
2012-02-19,Considerable,3,Considerable,3,Moderate,2,,
2012-02-20,Moderate,2,Moderate,2,Moderate,2,,
