date_valid,alpine_status,alpine_status_code,treeline_status,treeline_status_code,belowtree_status,belowtree_status_code,problems
2012-12-02,Considerable,3,Considerable,3,Moderate,2,Limited field observations and reports exist from this region. Conditions may be variable. It is important to be familiar with the snowpack and avalanche problems that may exist in your local mountains.
2012-12-03,High,4,Considerable,3,Moderate,2,
2012-12-04,High,4,High,4,Considerable,3,
2012-12-05,Considerable,3,Considerable,3,Considerable,3,
2012-12-06,Considerable,3,Considerable,3,Moderate,2,
2012-12-07,Considerable,3,Moderate,2,Moderate,2,The possibility of very large avalanches failing on the deeply buried crust is keeping the Alpine Danger elevated. I don't think we should trust big alpine slopes yet! Check out the forecast details for more info.
2012-12-08,Considerable,3,Moderate,2,Low,1,
2012-12-09,Moderate,2,Moderate,2,Low,1,
2012-12-10,Considerable,3,Moderate,2,Low,1,
2012-12-11,Considerable,3,Considerable,3,Moderate,2,
2012-12-12,Considerable,3,Moderate,2,Moderate,2,
2012-12-13,Moderate,2,Moderate,2,Low,1,
2012-12-14,Moderate,2,Moderate,2,Low,1,Avalanche danger is expected to rise on the weekend in response to heavy snow and strong ridge top winds.
2012-12-15,Considerable,3,Moderate,2,Moderate,2,
2012-12-16,Considerable,3,Considerable,3,Moderate,2,
2012-12-17,High,4,Considerable,3,Considerable,3,"Danger ratings are set for the Coquihalla, where recent storms have been focussing heavy snow. Conditions in the rest of the region are less touchy."
2012-12-18,Considerable,3,Moderate,2,Moderate,2,
2012-12-19,High,4,Considerable,3,Considerable,3,Conditions are variable across the region. The Coquihalla has received the deepest amounts of storm snow and conditions are likely to be touchier there than elsewhere. Danger ratings reflect the Coquihalla area conditions.
2012-12-20,Considerable,3,Considerable,3,Moderate,2,
2012-12-21,Considerable,3,Considerable,3,Moderate,2,
2012-12-22,Considerable,3,Moderate,2,Moderate,2,
2012-12-23,Moderate,2,Moderate,2,Moderate,2,"Avalanche danger ratings are based on light to locally moderate accumulations on Saturday night. If snowfall amounts are higher, the danger rating will increase."
2012-12-24,Moderate,2,Moderate,2,Moderate,2,
2012-12-25,Moderate,2,Moderate,2,Low,1,
2012-12-26,Moderate,2,Moderate,2,Low,1,
2012-12-27,Moderate,2,Moderate,2,Low,1,
2012-12-28,Moderate,2,Moderate,2,Low,1,
2012-12-29,Moderate,2,Moderate,2,Low,1,
2012-12-30,Moderate,2,Low,1,Low,1,
2012-12-31,Moderate,2,Low,1,Low,1,Have a safe and fun last day of the year!
2013-01-01,Moderate,2,Low,1,Low,1,Have a safe and fun new year!
2013-01-02,Moderate,2,Low,1,Low,1,
2013-01-03,Moderate,2,Low,1,Low,1,
2013-01-04,Low,1,Low,1,Low,1,Low danger doesn't mean no danger. Continue to be avalanche aware and travel using good practices.
2013-01-05,Moderate,2,Moderate,2,Low,1,It's worth noting that the weather forecast has changed and a storm is now expected this weekend.
2013-01-06,Moderate,2,Moderate,2,Moderate,2,"If there's more than 15 cm new snow by Sunday morning, raise alpine and treeline ratings to Considerable."
2013-01-07,Considerable,3,Considerable,3,Moderate,2,
2013-01-08,High,4,Considerable,3,Considerable,3,A significant storm is expected to impact this region on Tuesday afternoon and into Wednesday. Expect very dangerous avalanches conditions in backcountry areas through this period.
2013-01-09,High,4,High,4,Considerable,3,
2013-01-10,Considerable,3,Considerable,3,Considerable,3,"Sunny skies and fresh snow will be very tempting; however, give the new snow at least a couple days to settle and strengthen before pushing out into steeper, challenging terrain."
2013-01-11,Considerable,3,Considerable,3,Considerable,3,The presence of a buried weak layer requires discipline at this time. Start with small objectives and give the new snow a little longer to gain strength before pushing into more committing terrain. 
2013-01-12,Considerable,3,Moderate,2,Moderate,2,
2013-01-13,Moderate,2,Moderate,2,Moderate,2,
2013-01-14,Considerable,3,Moderate,2,Moderate,2,Temperatures are forecast to rise significantly early this week. This rapid increase in temperature will result in a spike in avalanche danger. For advice on how to manage these changing conditions please refer to the latest forecaster's blog.
2013-01-15,Considerable,3,Considerable,3,Moderate,2,Alpine temperatures are forecast to climb to +10 on Tuesday! Check out the latest forecaster's blog post for advice on how to manage these changing conditions.
2013-01-16,Considerable,3,Moderate,2,Moderate,2,
2013-01-17,Moderate,2,Moderate,2,Moderate,2,
2013-01-18,Moderate,2,Moderate,2,Moderate,2,
2013-01-19,Moderate,2,Moderate,2,Moderate,2,
2013-01-20,Moderate,2,Moderate,2,Low,1,
2013-01-21,Moderate,2,Low,1,Low,1,
2013-01-22,Moderate,2,Low,1,Low,1,"Danger ratings on Wednesday/ Thursday are set for the Coquihalla, and will be lower elsewhere. "
2013-01-23,Considerable,3,Considerable,3,Moderate,2,
2013-01-24,Considerable,3,Moderate,2,Moderate,2,
2013-01-25,Considerable,3,Considerable,3,Moderate,2,
2013-01-26,Moderate,2,Moderate,2,Moderate,2,
2013-01-27,Considerable,3,Moderate,2,Moderate,2,
2013-01-28,Considerable,3,Moderate,2,Moderate,2,Danger ratings are based on higher snowfall accumulations expected for the Southern part of the Region.
2013-01-29,Considerable,3,Considerable,3,Moderate,2,
2013-01-30,Considerable,3,Considerable,3,Moderate,2,
2013-01-31,Considerable,3,Moderate,2,Low,1,
2013-02-01,Considerable,3,Considerable,3,Moderate,2,
2013-02-02,Considerable,3,Considerable,3,Moderate,2,Rising temperatures and intense solar radiation is the driving force for the Avalanche Danger Ratings on Saturday.
2013-02-03,Considerable,3,Moderate,2,Low,1,
2013-02-04,Moderate,2,Moderate,2,Low,1,
2013-02-05,Considerable,3,Moderate,2,Moderate,2,"Be aware of your local conditions. If more than 20cm of new snow falls where you are traveling, the DANGER rating could be too low."
2013-02-06,Considerable,3,Considerable,3,Moderate,2,
2013-02-07,Considerable,3,Considerable,3,Moderate,2,There is considerable variability across the region in terms of new snow amounts (higher in the Coquihalla and Allison Passes). Be locally aware as to what's happening where you are traveling.
2013-02-08,Considerable,3,Considerable,3,Moderate,2,"When the sun comes out, it could have a de-stabilizing effect on the new snow. Be cautious if the sun burn off the high cloud."
2013-02-09,Considerable,3,Moderate,2,Moderate,2,
2013-02-10,Considerable,3,Moderate,2,Low,1,
2013-02-11,Moderate,2,Moderate,2,Low,1,
2013-02-12,Moderate,2,Moderate,2,Low,1,
2013-02-13,Moderate,2,Moderate,2,Low,1,
2013-02-14,Moderate,2,Moderate,2,Low,1,
2013-02-15,Moderate,2,Moderate,2,Low,1,
2013-02-16,Moderate,2,Moderate,2,Low,1,
2013-02-17,Considerable,3,Moderate,2,Low,1,
2013-02-18,Moderate,2,Moderate,2,Low,1,
2013-02-19,Moderate,2,Low,1,Low,1,
2013-02-20,Moderate,2,Low,1,Low,1,
2013-02-21,Moderate,2,Moderate,2,Low,1,
2013-02-22,High,4,Considerable,3,Moderate,2,
2013-02-23,High,4,Considerable,3,Moderate,2,
2013-02-24,Considerable,3,Considerable,3,Moderate,2,
2013-02-25,High,4,High,4,Considerable,3,
2013-02-26,High,4,Considerable,3,Moderate,2,
2013-02-27,Considerable,3,Considerable,3,Moderate,2,
2013-02-28,High,4,Considerable,3,Considerable,3,
2013-03-01,High,4,High,4,High,4,
2013-03-02,High,4,High,4,Considerable,3,
2013-03-03,Considerable,3,Considerable,3,Moderate,2,Watch out for slopes being warmed by direct sun. This may locally raise the avalanche danger.
2013-03-04,Considerable,3,Moderate,2,Low,1,
2013-03-05,Considerable,3,Moderate,2,Moderate,2,
2013-03-06,Moderate,2,Moderate,2,Moderate,2,Avalanche danger below treeline may be LOW in the Cascades where the surface rain crust extends up to higher elevations.
2013-03-07,Moderate,2,Moderate,2,Moderate,2,Avalanche danger below treeline is LOW in the Cascades where the surface rain crust extends up to higher elevations.
2013-03-08,Moderate,2,Moderate,2,Moderate,2,Avalanche danger below treeline is LOW in the Cascades where the surface rain crust extends up to higher elevations.
2013-03-09,Moderate,2,Moderate,2,Low,1,
2013-03-10,Moderate,2,Moderate,2,Low,1,
2013-03-11,Moderate,2,Moderate,2,Low,1,
2013-03-12,High,4,Considerable,3,Moderate,2,"The avalanche danger will rise throughout the day on Tuesday as snow accumulates, winds increase, and the freezing level rises."
2013-03-13,High,4,High,4,Considerable,3,
2013-03-14,High,4,High,4,Considerable,3,
2013-03-15,High,4,Considerable,3,Moderate,2,
2013-03-16,Considerable,3,Considerable,3,Considerable,3,"Uncertainty exists with forecast freezing levels and the bond within and below the recent storm snow, especially across different elevation bands. Be alert to conditions that change with elevation and make observations continuously as you travel."
2013-03-17,Considerable,3,Moderate,2,Low,1,"Variable snowpack conditions, particularly at upper treeline and alpine elevations. The snowpack is proving slow to recover following the recent big storm."
2013-03-18,Considerable,3,Considerable,3,Moderate,2,A lot more snow than expected fell in the Coquihalla. Variable snowpack conditions through the region.
2013-03-19,High,4,Considerable,3,Moderate,2,I expect a natural avalanche cycle to occur in the Coquihalla backcountry areas on Tuesday as the wind increases in the afternoon. Avalanche danger for the alpine along the Duffey is more like CONSIDERABLE.
2013-03-20,High,4,High,4,Considerable,3,
2013-03-21,Considerable,3,Considerable,3,Moderate,2,
2013-03-22,Considerable,3,Moderate,2,Moderate,2,Avalanche danger may spike on slopes receiving direct sun. Avoid travelling on or underneath sun-baked terrain.
2013-03-23,Considerable,3,Moderate,2,Moderate,2,Avalanche danger may spike on slopes receiving direct sun. Avoid travelling on or underneath sun-baked terrain.
2013-03-24,Moderate,2,Moderate,2,Moderate,2,Avalanche danger may spike on slopes receiving direct sun. Avoid travelling on or underneath sun-baked terrain.
2013-03-25,Moderate,2,Moderate,2,Low,1,
2013-03-26,Moderate,2,Moderate,2,Low,1,
2013-03-27,Moderate,2,Moderate,2,Low,1,
2013-03-28,Moderate,2,Low,1,Low,1,Avalanche Danger will increase with daytime heating on south and west facing terrain. Be aware of changing conditions.
2013-03-29,Moderate,2,Low,1,Low,1,Danger could INCREASE TO CONSIDERABLE on south and west aspects due to intense solar radiation. Be locally aware to changing conditions.
2013-03-30,Moderate,2,Low,1,Low,1,"Danger could INCREASE TO CONSIDERABLE with intense radiation on south and west aspects, especially at treeline and below. Be aware of how the warm weather is changing the snowpack."
2013-03-31,Moderate,2,Low,1,Low,1,"Danger could INCREASE TO CONSIDERABLE with intense radiation on south and west aspects, especially at treeline and below. Be aware of how the warm weather is changing the snowpack."
2013-04-01,Moderate,2,Low,1,Low,1,"Be alert to conditions that change with daytime warming. Danger ratings are likely to exceed posted levels if solar radiation is strong, especially at treeline and below."
2013-04-02,Low,1,Low,1,Low,1,
2013-04-03,Moderate,2,Low,1,Low,1,
2013-04-04,Moderate,2,Low,1,Low,1,
