date_valid,alpine_status,alpine_status_code,treeline_status,treeline_status_code,belowtree_status,belowtree_status_code,problems,
2016-12-20,High,4,High,4,Considerable,3,There is a wide variation between forecast snowfall amounts and temperatures in the north and south of the region. Danger ratings as seen here are for anticipated higher snowfall and warmer temperatures  anticipated in the south.,
2016-12-21,Considerable,3,Considerable,3,Moderate,2,"The last few days' new snow sits on a variety of potential weak sliding layers. As the storm snow settles in the coming days, it will be critical to evaluate the bond between new and old snow layers.",
2016-12-22,Considerable,3,Moderate,2,Moderate,2,As this past week's storm snow continues to settle it will still be important to evaluate the bond between the old snow surface and the new snow. There is still potential for a week sliding layer in isolated sheltered areas.,
2016-12-23,Considerable,3,Moderate,2,Low,1,As this past week's storm snow continues to settle it will still be important to evaluate the bond between the old snow surface and the new snow. There is still potential for a weak sliding layer in isolated sheltered areas.,
2016-12-24,Moderate,2,Moderate,2,Low,1,"Recent storms have set up great skiing and riding for the holiday weekend, but don't overlook the wind slab problem that still exists at upper elevations.",
2016-12-25,Moderate,2,Moderate,2,Low,1,"Recent storms have set up great skiing for the holiday weekend, but don't overlook the wind slab problem that still exists at upper elevations.",
2016-12-26,Moderate,2,Moderate,2,Low,1,Keep the wind slab problem in mind as you enjoy one more day of relatively good stability. New snow is coming!,
2016-12-27,Considerable,3,Considerable,3,Moderate,2,The current storm is building avalanche problems in the South Coast Inland. Whether it's a wind slab or a storm slab depends on your location.,
2016-12-28,Considerable,3,Moderate,2,Low,1,Watch for signs of recent wind loading in exposed terrain. Wind slabs are expected to be reactive to human triggering on Wednesday.,
2016-12-29,High,4,Considerable,3,Moderate,2,"In the south of the region, widespread storm slabs are possible and the alpine danger rating is High.
In the north of the region, wind slabs are expected to be the primary concern and the alpine danger ratings is expected to Considerable.",
2016-12-30,Considerable,3,Considerable,3,Moderate,2,Conservative terrain selection is recommended on Friday. Give the recent storm snow a couple days to settle and stabilize before pushing into big terrain features. Use extra caution on steep sun exposed slopes on Friday afternoon.,
