date_valid,alpine_status,alpine_status_code,treeline_status,treeline_status_code,belowtree_status,belowtree_status_code
2012-12-03,Considerable,3,Moderate,2,Moderate,2
2012-12-04,High,4,High,4,Considerable,3
2012-12-05,Considerable,3,Considerable,3,Moderate,2
2012-12-06,Considerable,3,Considerable,3,Moderate,2
2012-12-07,Considerable,3,Moderate,2,Moderate,2
2012-12-08,Considerable,3,Moderate,2,Low,1
2012-12-09,Moderate,2,Moderate,2,Low,1
2012-12-10,Considerable,3,Moderate,2,Low,1
2012-12-11,Considerable,3,Considerable,3,Moderate,2
2012-12-12,Considerable,3,Moderate,2,Moderate,2
2012-12-13,Considerable,3,Moderate,2,Low,1
2012-12-14,Considerable,3,Moderate,2,Low,1
2012-12-15,Considerable,3,Considerable,3,Moderate,2
2012-12-16,Considerable,3,Considerable,3,Moderate,2
2012-12-17,High,4,High,4,Considerable,3
2012-12-18,Considerable,3,Considerable,3,Moderate,2
2012-12-19,High,4,Considerable,3,Moderate,2
2012-12-20,Considerable,3,Considerable,3,Moderate,2
2012-12-21,Considerable,3,Moderate,2,Moderate,2
2012-12-22,Considerable,3,Considerable,3,Moderate,2
2012-12-23,Moderate,2,Moderate,2,Moderate,2
2012-12-24,Moderate,2,Moderate,2,Low,1
2012-12-25,Moderate,2,Moderate,2,Low,1
2012-12-26,Moderate,2,Moderate,2,Low,1
2012-12-27,Moderate,2,Moderate,2,Low,1
2012-12-28,Moderate,2,Moderate,2,Low,1
2012-12-29,Moderate,2,Moderate,2,Low,1
2012-12-30,Moderate,2,Low,1,Low,1
2012-12-31,Moderate,2,Low,1,Low,1
2013-01-01,Moderate,2,Moderate,2,Low,1
2013-01-02,Moderate,2,Low,1,Low,1
2013-01-03,Moderate,2,Low,1,Low,1
2013-01-04,Moderate,2,Moderate,2,Low,1
2013-01-05,Low,1,Low,1,Low,1
2013-01-06,Considerable,3,Moderate,2,Moderate,2
2013-01-07,Considerable,3,Moderate,2,Moderate,2
2013-01-08,Considerable,3,Considerable,3,Moderate,2
2013-01-09,High,4,High,4,High,4
2013-01-10,Considerable,3,Considerable,3,Moderate,2
2013-01-11,Considerable,3,Considerable,3,Moderate,2
2013-01-12,Considerable,3,Considerable,3,Moderate,2
2013-01-13,Moderate,2,Moderate,2,Moderate,2
2013-01-14,Considerable,3,Considerable,3,Moderate,2
2013-01-15,Considerable,3,Considerable,3,Considerable,3
2013-01-16,Considerable,3,Moderate,2,Moderate,2
2013-01-17,Moderate,2,Moderate,2,Moderate,2
2013-01-18,Moderate,2,Moderate,2,Moderate,2
2013-01-19,Moderate,2,Moderate,2,Moderate,2
2013-01-20,Moderate,2,Moderate,2,Low,1
2013-01-21,Moderate,2,Moderate,2,Low,1
2013-01-22,Moderate,2,Low,1,Low,1
2013-01-23,Considerable,3,Considerable,3,Considerable,3
2013-01-24,Considerable,3,Moderate,2,Moderate,2
2013-01-25,Considerable,3,Considerable,3,Considerable,3
2013-01-26,Considerable,3,Considerable,3,Moderate,2
2013-01-27,Considerable,3,Moderate,2,Moderate,2
2013-01-28,Considerable,3,Moderate,2,Moderate,2
2013-01-29,Considerable,3,Considerable,3,Moderate,2
2013-01-30,Considerable,3,Moderate,2,Low,1
2013-01-31,Considerable,3,Moderate,2,Low,1
2013-02-01,Considerable,3,Moderate,2,Low,1
2013-02-02,Considerable,3,Considerable,3,Considerable,3
2013-02-03,Considerable,3,Moderate,2,Low,1
2013-02-04,Moderate,2,Moderate,2,Low,1
2013-02-05,Considerable,3,Moderate,2,Low,1
2013-02-06,Considerable,3,Considerable,3,Considerable,3
2013-02-07,Considerable,3,Considerable,3,Moderate,2
2013-02-08,Considerable,3,Considerable,3,Moderate,2
2013-02-09,Considerable,3,Moderate,2,Moderate,2
2013-02-10,Moderate,2,Moderate,2,Moderate,2
2013-02-11,Moderate,2,Low,1,Low,1
2013-02-12,Considerable,3,Moderate,2,Low,1
2013-02-13,Moderate,2,Moderate,2,Low,1
2013-02-14,Moderate,2,Low,1,Low,1
2013-02-15,Moderate,2,Moderate,2,Low,1
2013-02-16,Moderate,2,Low,1,Low,1
2013-02-17,Moderate,2,Moderate,2,Low,1
2013-02-18,Moderate,2,Moderate,2,Low,1
2013-02-19,Moderate,2,Low,1,Low,1
2013-02-20,Moderate,2,Low,1,Low,1
2013-02-21,Moderate,2,Moderate,2,Low,1
2013-02-22,High,4,High,4,Considerable,3
2013-02-23,Considerable,3,Considerable,3,Moderate,2
2013-02-24,Considerable,3,Considerable,3,Moderate,2
2013-02-25,High,4,Considerable,3,Moderate,2
2013-02-26,Considerable,3,Considerable,3,Moderate,2
2013-02-27,Considerable,3,Considerable,3,Moderate,2
2013-02-28,Considerable,3,Considerable,3,Moderate,2
2013-03-01,High,4,High,4,High,4
2013-03-02,High,4,High,4,High,4
2013-03-03,Considerable,3,Considerable,3,Moderate,2
2013-03-04,Considerable,3,Considerable,3,Moderate,2
2013-03-05,Moderate,2,Moderate,2,Low,1
2013-03-06,Moderate,2,Moderate,2,Moderate,2
2013-03-07,Moderate,2,Moderate,2,Moderate,2
2013-03-08,Moderate,2,Moderate,2,Moderate,2
2013-03-09,Moderate,2,Moderate,2,Moderate,2
2013-03-10,Moderate,2,Moderate,2,Low,1
2013-03-11,Considerable,3,Considerable,3,Moderate,2
2013-03-12,High,4,Considerable,3,Moderate,2
2013-03-13,High,4,High,4,Considerable,3
2013-03-14,High,4,Considerable,3,Moderate,2
2013-03-15,High,4,Considerable,3,Moderate,2
2013-03-16,Considerable,3,Considerable,3,Moderate,2
2013-03-17,Considerable,3,Moderate,2,Moderate,2
2013-03-18,Moderate,2,Moderate,2,Low,1
2013-03-19,Considerable,3,Considerable,3,Moderate,2
2013-03-20,High,4,High,4,Considerable,3
2013-03-21,High,4,Considerable,3,Moderate,2
2013-03-22,Considerable,3,Moderate,2,Moderate,2
2013-03-23,Considerable,3,Moderate,2,Moderate,2
2013-03-24,Considerable,3,Moderate,2,Moderate,2
2013-03-25,Moderate,2,Moderate,2,Low,1
2013-03-26,Moderate,2,Moderate,2,Low,1
2013-03-27,Moderate,2,Moderate,2,Low,1
2013-03-28,Moderate,2,Low,1,Low,1
2013-03-29,Moderate,2,Low,1,Low,1
2013-03-30,Moderate,2,Moderate,2,Moderate,2
2013-03-31,Moderate,2,Low,1,Low,1
2013-04-01,Moderate,2,Low,1,Low,1
2013-04-02,Low,1,Low,1,Low,1
2013-04-03,Moderate,2,Low,1,Low,1
2013-04-04,Moderate,2,Moderate,2,Low,1
2013-04-05,Considerable,3,Moderate,2,Low,1
2013-04-06,Considerable,3,Considerable,3,Moderate,2
2013-04-07,Considerable,3,Considerable,3,Moderate,2
