date_valid,alpine_status,alpine_status_code,treeline_status,treeline_status_code,belowtree_status,belowtree_status_code
2016-12-21,Considerable,3,Considerable,3,Moderate,2
2016-12-22,Considerable,3,Considerable,3,Moderate,2
2016-12-23,Considerable,3,Moderate,2,Low,1
2016-12-24,Moderate,2,Moderate,2,Low,1
2016-12-25,Moderate,2,Low,1,Low,1
2016-12-26,Considerable,3,Considerable,3,Moderate,2
2016-12-27,Considerable,3,Considerable,3,Moderate,2
2016-12-28,Considerable,3,Moderate,2,Moderate,2
2016-12-29,Considerable,3,Considerable,3,Moderate,2
2016-12-30,Considerable,3,Considerable,3,Moderate,2
2016-12-31,Considerable,3,Moderate,2,Moderate,2
2017-01-01,Moderate,2,Moderate,2,Low,1
2017-01-02,Moderate,2,Moderate,2,Low,1
2017-01-03,Moderate,2,Low,1,Low,1
2017-01-04,Moderate,2,Low,1,Low,1
2017-01-05,Moderate,2,Low,1,Low,1
2017-01-06,Moderate,2,Low,1,Low,1
2017-01-07,Moderate,2,Low,1,Low,1
2017-01-08,Moderate,2,Low,1,Low,1
2017-01-09,Moderate,2,Moderate,2,Low,1
2017-01-10,Moderate,2,Moderate,2,Low,1
2017-01-11,Moderate,2,Moderate,2,Low,1
2017-01-12,Moderate,2,Moderate,2,Low,1
2017-01-13,Moderate,2,Low,1,Low,1
2017-01-14,Moderate,2,Moderate,2,Low,1
2017-01-15,Moderate,2,Moderate,2,Low,1
2017-01-16,Moderate,2,Moderate,2,Low,1
2017-01-17,Considerable,3,Considerable,3,Moderate,2
2017-01-18,Considerable,3,Considerable,3,Moderate,2
2017-01-19,Considerable,3,Considerable,3,Moderate,2
2017-01-20,Considerable,3,Considerable,3,Moderate,2
2017-01-21,Considerable,3,Considerable,3,Moderate,2
2017-01-22,Considerable,3,Considerable,3,Moderate,2
2017-01-23,Considerable,3,Considerable,3,Moderate,2
2017-01-24,Moderate,2,Moderate,2,Low,1
2017-01-25,Moderate,2,Moderate,2,Low,1
2017-01-26,Moderate,2,Moderate,2,Low,1
2017-01-27,Moderate,2,Low,1,Low,1
2017-01-28,Moderate,2,Moderate,2,Low,1
2017-01-29,Moderate,2,Moderate,2,Low,1
2017-01-30,Moderate,2,Moderate,2,Low,1
2017-01-31,Moderate,2,Moderate,2,Low,1
2017-02-01,Moderate,2,Low,1,Low,1
2017-02-02,Moderate,2,Moderate,2,Low,1
2017-02-03,Moderate,2,Moderate,2,Low,1
2017-02-04,Moderate,2,Moderate,2,Low,1
2017-02-05,Considerable,3,Considerable,3,Considerable,3
2017-02-06,Considerable,3,Considerable,3,Considerable,3
2017-02-07,Moderate,2,Moderate,2,Moderate,2
2017-02-08,Moderate,2,Moderate,2,Moderate,2
2017-02-09,Considerable,3,Considerable,3,Considerable,3
2017-02-10,Considerable,3,Considerable,3,Considerable,3
2017-02-11,Considerable,3,Considerable,3,Considerable,3
2017-02-12,Considerable,3,Moderate,2,Moderate,2
2017-02-13,Considerable,3,Moderate,2,Moderate,2
2017-02-14,High,4,High,4,Considerable,3
2017-02-15,High,4,High,4,Considerable,3
2017-02-16,High,4,High,4,Considerable,3
2017-02-17,High,4,High,4,Considerable,3
